video1,video2,trajectoy_distance,seconds,duplicate,ssim
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607619556.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607619560.mp4,3930,4.0,T,0.9569945888207697
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607621353.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607621359.mp4,325182,8.0,T,0.9503933203730522
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647382.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647382.mp4,66251,15.0,T,0.7795962852591422
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647382.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647406.mp4,1236381,26.0,T,0.8919942469713812
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647382.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647412.mp4,1614071,30.0,T,0.7904297020445626
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647382.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647417.mp4,3449240,37.0,T,0.7830518380078995
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647596.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647601.mp4,145144,14.0,T,0.7735933278692139
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647596.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647601.mp4,147903,7.0,T,0.7735933278692139
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647596.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647601.mp4,291879,14.0,T,0.7735933278692139
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647596.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607647617.mp4,845833,23.0,T,0.7502659984322149
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607683565.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607683574.mp4,917693,31.0,T,0.8281229255689353
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607695008.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607695025.mp4,224073,18.0,T,0.5847322505239138
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607695755.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607695761.mp4,97221,7.0,T,0.954447038899095
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607695755.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607695764.mp4,123245,9.0,T,0.9490696710189653
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607695755.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607695764.mp4,486010,11.0,T,0.9490696710189653
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607700188.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607700190.mp4,5508,6.0,T,0.9877693216649753
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607700188.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607700196.mp4,57451,14.0,T,0.9428105139705448
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607703818.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607703836.mp4,2349530,23.0,T,0.9355658036278408
https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607703818.mp4,https://igct.s3.amazonaws.com/5fd165fa69af9b0eef63d40a_1607703845.mp4,296299,27.0,T,0.9002326272781517
